dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
PBMC10k,all,trrust,8,2271,STAT3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,8,1948,SP1,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,8,2691,ZBTB7A,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,8,415,ELK4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1948,SP1,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2545,USF1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1724,RFXANK,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,16,AHR,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2302,STAT3,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,737,HIF1A,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,196,CEBPB,GNLY,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2494,TP53,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,43,ARNT,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1501,PPARD,SAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1380,NFYC,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,236,CIITA,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,307,CREM,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2271,STAT3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2654,YY1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,173,CEBPA,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2708,ZNF148,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2137,SPI1,CTSS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,621,HDAC1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,765,HOPX,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1219,NFKB1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1178,NFAT5,LTB,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1372,NFYB,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,746,HIPK2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1698,RFX1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2187,SRF,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,786,HSF2,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,540,FOS,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,228,CIITA,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1984,SP1,LYZ,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1950,SP1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,713,HIF1A,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2557,USF2,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,407,ELK1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1316,NFKB1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,210,CEBPD,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1660,RELA,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1431,PARP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2527,USF1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2384,TCF4,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2339,STAT6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2587,VDR,TPT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2698,ZEB2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,800,ILF3,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1171,NF1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,762,HMGN1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,256,CREB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2360,TBP,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2383,TCF4,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1865,SMARCA4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1799,SFPQ,NEAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1526,RB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1245,NFKB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,415,ELK4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,204,CEBPB,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1589,RELA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1542,RBMX,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,620,HDAC1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,184,CEBPA,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,698,HDGF,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,331,CTNNB1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1479,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1356,NFKBIA,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2691,ZBTB7A,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1712,RFX5,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,437,EP300,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1736,RFXAP,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,299,CREBBP,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,1164,NCOA6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2076,SP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust,9,2323,STAT4,S100A4,all_caliper_candidates_excluded,False
